record_number,keyword,frequency
0,repair build finishes out,1
0,complete interior,3
0,limited exterior renovation,1
0,story masonry,1
0,masonry building,3
0,masonry repair,17
1,interior wall,55
2,fire door,4
2,damaged door,1
2,fire door,4
3,replace front porch rail stair,1
3,porch stair,5
3,stair rail,2
3,porch stair,5
3,stair rail,2
4,kitchen renovation,172
4,wall finishing,2
4,kitchen renovation,172
4,wall finishing,2
5,remove walls,16
5,update flooring,1
6,5 windows,36
7,air sealing,782
8,6 windows,33
9,replace windows,238
9,10 windows,26
10,exist kitchen,125
11,bath remodel,18
12,replace install foam insulation,1
12,new shower,19
13,install door,36
13,door install,5
15,rooftop deck,3
16,basement renovation,36
16,bath,23
16,remodel laundry area,1
16,head room,2
16,basement renovation,36
16,head room,2
19,1 st,4
19,replace kitchen,16
19,interior partition,105
19,st floor,4
19,floor replace,2
19,replace kitchen,16
20,interior demolition,131
20,mep system,55
20,replacement /restoration,2
20,mep system,55
20,replacement /restoration,2
21,14 marvin,2
21,marvin replacement,10
21,replacement window,270
22,floor unit,40
23,1 replacement,53
23,replacement entry,21
23,entry door,113
25,exist rear porch,7
25,unknown depth,1
25,new structure,3
25,place,9
25,foundation wall,41
25,sound framing,2
25,bza permit work,1
25,foundation wall,41
25,sound framing,2
26,blow insulation,1
26,batt insulation,4
26,ma save program,12
26,batt insulation,4
27,install starbucks kiosk,1
27,exist supermarket,3
28,10 replacement window,11
29,bathroom,187
30,construct accessible toilet room,1
30,submit plan,18
31,structural,114
31,new bath,22
31,fitter unit,2
31,master bath,37
32,work,113
32,demolition,18
32,mep system,55
32,mep system,55
32,basement slab,24
33,repair rear deck,4
34,property,31
34,cumaru wood,1
35,selective demolition,70
35,roof hatch,3
35,equipment removal,2
35,roof hatch,3
35,equipment removal,2
36,remodel complete bathroom,1
37,4 windows,46
37,structural work,326
38,repair porch,17
40,replace posts,3
40,2 posts,3
40,kitchen deck,4
40,kitchen deck,4
41,wood floor,62
41,dry wall wall,1
41,demo wood,1
41,wood floor,62
41,bedroom laundry,1
41,ceiling bedroom,1
41,bedroom bath,2
41,kitchen dinning,1
42,remove replace exterior door,4
42,1 existing,32
43,kitchens,1
43,bathroom,187
44,replace stair framing,1
44,rotten stair framing,1
45,insulation work,599
45,insulation work,599
46,remove plaster,6
46,install prep,1
46,install new kitchen cabinets,15
46,replace door,19
46,3 ceilings,1
46,5/8 fire,1
46,3 rooms,3
46,update wiring,10
46,select area,9
46,open ceiling,2
46,select wall,5
46,update wiring,10
48,replace windows,238
48,2 windows,42
48,structural change,561
49,1 patio,39
49,patio door,83
49,patio door,83
50,exterior drill,4
51,dense pack cellulose,30
51,attic blow,6
52,build deck,5
52,10'by 10,1
52,2 stairs,1
52,house,109
52,kitchen area,55
52,10 deck,1
52,kitchen area,55
53,project,176
53,interior renovation,326
53,tenant suite,5
55,replacement window,270
55,structural work,326
55,replacement window,270
56,air seal,17
56,basement sill,6
56,exterior wall,166
56,air seal,17
56,basement sill,6
57,3rd floor,285
57,floor bathroom,156
57,bathroom remodel,123
58,structural change,561
58,air sealing,782
58,site id,477
59,family structure,8
59,new dormer,17
59,family structure,8
60,entire exist structure,1
61,mass save,368
61,save program,353
62,structural change,561
62,air sealing,782
63,insulation work,599
63,insulation work,599
63,mass save,368
63,save program,353
64,structural change,561
64,site id,477
64,air sealing,782
64,site id,477
65,mass save,368
65,save program,353
66,remove wood panels,1
66,replace aprox,1
66,replace windows replacement,4
66,10 storefront,1
66,metal panel,10
66,vestibule roof,2
66,metal panel,10
66,type window,1
66,window replacement,88
66,vestibule roof,2
67,mass save,368
67,save program,353
68,mass save,368
68,mass save,368
69,mass save,368
69,save program,353
70,insulation work,599
70,insulation work,599
70,mass save,368
70,save program,353
71,remove non - bearing walls,2
71,exist kitchen,125
71,half bathroom,52
71,bar area,9
71,half bathroom,52
72,insulation work,599
72,insulation work,599
72,mass save,368
72,save program,353
73,insulation work,599
73,insulation work,599
73,mass save,368
73,save program,353
74,replace sink,4
74,remove auxiliary sink,1
74,replace range duct hood,1
74,replace bathroom shower interior,1
74,replace shower valve,4
74,remove vanity cabinet,1
74,replace plumbing,4
74,replace bathtub valves,1
74,2 interior,4
74,kitchen cabinet,188
74,ground floor,65
