keyword,frequency
air sealing,807
insulation work,603
structural change,584
site id,483
2nd floor,398
fire alarm,373
mass save,372
1st floor,361
save program,355
structural work,339
interior renovation,338
3rd floor,296
replacement window,284
bathroom renovation,254
fire protection,244
replace windows,239
living room,234
office space,226
project,193
bathroom,192
kitchen cabinet,191
floor,190
new finish,176
kitchen renovation,176
exterior wall,169
new window,169
second floor,165
building,164
floor bathroom,158
exist bathroom,148
interior demolition,133
gut renovation,128
bathroom remodel,127
exist window,126
exist kitchen,126
new kitchen,124
energy star,122
lab space,121
change,120
work,117
entry door,116
conference room,116
dining room,115
structural,115
house,111
new bathroom,111
renovate kitchen,108
kitchen,107
interior partition,107
plumbing fixture,104
kitchen remodel,103
4th floor,102
cellulose insulation,102
new cabinet,99
partition wall,98
new door,98
water damage,98
basement,96
remodel kitchen,95
exist deck,93
interior demo,92
renovation,92
wall,91
window replacement,90
master bedroom,88
scope,87
like size,86
new flooring,83
patio door,83
location,82
attach plan,82
unit,81
tenant space,81
exist finish,81
master bathroom,80
install replacement windows,80
sprinkler system,80
powder room,79
5th floor,79
exist space,78
exist building,78
porch,78
new layout,77
ground floor,76
exist opening,76
selective demolition,76
hvac system,75
half bath,75
new wall,70
sprinkler head,69
new plumbing,68
2 new,66
remove windows,64
life safety,63
wood floor,62
size,62
6th floor,62
building permit,61
replace window,60
mep system,58
interior finish,58
kitchen area,58
new partition,58
new tile,58
exterior work,58
family room,58
sprinkler work,58
roof deck,57
install windows,57
paint wall,56
2 existing,56
half bathroom,56
interior wall,55
exist office space,55
live unit,55
ground level,55
complete renovation,54
structural changes,54
1 replacement,54
replace kitchen cabinets,53
tile floor,52
selective demo,52
plan,52
window,52
bathroom remodeling,51
replace bathroom,51
roof,50
light fixture,50
exist wall,50
2 bathrooms,50
basement level,49
office renovation,49
new lighting,49
metal stud,49
floor kitchen,49
permit application,48
exterior door,48
laundry room,47
counter top,47
1 window,47
floor tile,47
family home,47
project scope,46
office area,46
rubber roof,46
4 windows,46
new roof,45
tenant fit,45
bedroom,45
new siding,45
wall insulation,45
footprint,44
foundation wall,44
area,44
new kitchen cabinet,44
blue board,44
2 windows,43
electrical work,43
support space,43
3 windows,43
tenant improvement,43
space,43
alarm system,43
8th floor,42
rim joist,42
floor finish,41
exterior siding,40
exterior,40
new tenant,40
floor unit,40
work scope,40
new footing,40
architectural finish,40
1 patio,39
7th floor,39
tenant fitout,39
renovate bathroom,39
new office,38
new deck,38
attic floor,38
story addition,38
closet,38
hardwood floor,38
exist porch,38
1 new,37
rear,37
master bath,37
work area,37
floor office,37
bathroom floor,37
5 windows,37
addition,37
exist door,37
laboratory space,37
act ceiling,37
door,36
drywall partition,36
basement renovation,36
remove chimney,36
2 family,36
remove wall,36
exist structure,36
minor interior demo,36
new hvac,36
install door,36
gut rehab,36
exhaust fan,35
exist lab space,35
6 windows,35
pack cellulose,35
floor plan,35
2 replacement,34
bathroom vanity,34
basement floor,34
permit,34
ceiling tile,34
vinyl window,34
exist skylight,33
layout,33
deck,33
exist cabinet,33
1 existing,33
new fixture,33
installation,33
wall tile,32
exist kitchen cabinet,32
vinyl replacement,32
interior door,32
4 new,32
bathroom fixture,32
removal,32
exist tub,31
kitchen remodeling,31
property,31
replace deck,31
exist footprint,31
roof replacement,31
3 new,31
parking garage,31
door sweep,31
separate permit,31
hardwood flooring,31
living unit,30
remove debris,30
new floor,30
exist roof,30
story building,30
dense pack cellulose,30
plumbing work,30
remove replace windows,30
right,30
remove tub,30
install replacement,30
exist stair,30
1/2 bath,30
non load,29
new ceiling,29
storage area,29
basement window,29
repair wall,29
spray foam,29
new vanity,29
floor deck,29
sheet rock,29
minor renovation,29
sand floor,28
building plan,28
finish,28
exist location,28
plumbing,28
minor demolition,28
mep work,28
floor joist,28
remodel bathroom,28
portion,28
install tile,27
interior,27
new tub,27
residential weatherization,27
finish carpentry,27
new paint,27
office,27
7 windows,27
construction type,27
new construction,27
egress window,26
replace siding,26
application,26
family dwelling,26
new insulation,26
floor space,26
new carpet,26
single family,26
rear deck,26
10 windows,26
masonry repointing,26
family house,25
insulate wall,25
mass save program,25
insulation weatherization,25
stud,25
ceiling finish,25
new framing,25
lighting fixture,25
install window,25
install new door,25
foot print,25
new work,25
medicine cabinet,25
vapor barrier,25
tissue culture,25
deck repair,24
closet door,24
massave program,24
stair,24
door opening,24
roof line,24
basement slab,24
new sink,24
glass door,24
floor lab,24
open wall,24
remove windows replace,23
home,23
bath,23
level,23
install insulation,23
harvey classic,23
replacement windows,23
new plumbing fixture,23
deck board,23
tile flooring,23
3 existing,23
family residence,23
skylight replacement,23
new electric,22
framing,22
exist garage,22
hvac unit,22
kitchen cabinets,22
remove window,22
finish basement,22
new bath,22
replace repair,22
office suite,22
mep upgrade,22
room,22
new stair,22
fit,22
entire unit,22
floor bath,22
replacement entry,22
time,22
install new tile,22
ceiling height,22
left,22
remove replace,22
repair masonry,22
exist basement,22
new trim,22
smoke detector,22
remove kitchen cabinets,22
exist mep,21
fire sprinkler,21
shower,21
sump pump,21
new addition,21
lab equipment,21
gut,21
dining area,21
kitchen window,21
vinyl floor,21
live space,21
replace doors,21
window trim,21
special permit,21
tile shower,20
plaster wall,20
carriage house,20
structure,20
drop ceiling,20
toilet room,20
9 replacement,20
patch floor,20
window well,20
8 windows,20
demolition,20
entrance,20
4 replacement,20
2 story,20
dense pack,20
rear porch,20
shower stall,20
fp work,20
junction box,20
excavate basement,20
interior renovations,20
new drywall,20
9 windows,20
replace railings,20
mass save weatherization,20
remove kitchen,20
16 windows,20
floor addition,20
fire alarm system,20
replacement door,20
basement bathroom,20
1 entry,20
storage space,19
window opening,19
new shower,19
partial renovation,19
emergency repair,19
bath fan,19
egress stair,19
new skylight,19
energy star glass,19
basement area,19
floor tenant,19
concrete repair,19
1 door,19
wood trim,19
masonry repair,19
heating system,19
refinish floor,19
common area,19
section,19
new bedroom,19
shower valve,19
replace door,19
replace finishes,19
floor porch,19
exist ceiling,19
water heater,19
shower wall,19
renovation work,19
interior tenant,19
height,19
3 replacement,19
fiberglass batting,18
replace kitchen,18
replace renovation,18
wall covering,18
side,18
4 existing,18
new toilet,18
kitchen appliance,18
gut remodel,18
debris,18
storm door,18
submit plan,18
gas fireplace,18
12 windows,18
protection system,18
replace roof,18
cambridge ma,18
use group,18
minor demo,18
renovation project,18
remove door,18
line set,18
replace door windows,18
new hvac system,18
dimension,18
demo permit,18
bath renovation,18
george shaw,18
new foundation,18
step,18
fp system,18
replacement,18
mep fp,18
lvl beam,18
size windows,18
low level,18
trim work,18
paint unit,18
patch roof,18
interior painting,18
bath remodel,18
install cabinet,18
entry porch,18
new mep,18
protection work,18
mit building,17
new washer dryer,17
plumbing system,17
new dormer,17
verizon wireless,17
basement ceiling,17
alarm work,17
2nd floor bathroom,17
floor area,17
9th floor,17
new millwork,17
tile work,17
3 story,17
yard,17
duct work,17
cosmetic renovation,17
floor bedroom,17
skim coat,17
lally column,17
air seal,17
build wall,17
foam insulation,17
second floor bathroom,17
kneewall slope,17
office fit,17
basement stair,17
shower area,17
basement space,17
new tile floor,17
lab area,17
exist chimney,17
repair siding,17
exist lab,17
exist foundation,17
repair porch,17
construction,17
storage room,17
kitchen floor,17
interior fit,17
guest bath,17
private office,17
finish work,17
remove walls,17
porch roof,17
main street,17
11 windows,17
basement excavation,17
waterproofing repairs,17
propose work,16
floor renovation,16
baseboard heater,16
architectural finishes,16
3 bathrooms,16
install new windows,16
wall finish,16
unit penetration,16
bathroom heater,16
curtain wall,16
new appliance,16
remove cabinets,16
exist layout,16
sub floor,16
interior space,16
new cabinetry,16
new wiring,16
code requirement,16
6 new,16
3rd floors,16
bay window,16
install new kitchen cabinets,16
air conditioning,16
acoustical ceiling,16
office building,16
bathroom tile,16
interior work,16
floor level,16
demo kitchen,16
loading dock,16
alteration,16
detail,16
meeting room,16
master suite,16
water line,16
door replacement,16
2nd floors,15
bath fixture,15
electrical system,15
occupancy class,15
mortar joint,15
exist tenant space,15
garage door,15
fa work,15
brick wall,15
replace carpet,15
2ND floor,15
install washer,15
heat pump,15
cafe space,15
guest bedroom,15
2 alteration,15
replace rubber roof,15
update plumbing,15
infrastructure upgrade,15
blown cellulose,15
driveway,15
remove dispose,15
pvc trim,15
duct sealing,15
vinyl siding,15
dormer,15
door kits,15
reception area,15
install new bath trim kitchen,15
apartment,15
washer dryer,15
exist floor,15
level alteration,15
ft .,15
refinish oak floor,15
exterior renovation,15
sq .,15
ceiling,15
water shield,15
exist family,15
bza case,14
install new flooring,14
gut bathroom,14
roof structure,14
floor board,14
huddle room,14
replace cabinets,14
masonry restoration,14
exist restroom,14
repair roof,14
structural repairs,14
accessibility upgrade,14
bathroom upgrade,14
replace skylight,14
new closet,14
street,14
exist railing,14
minimal demolition,14
5 replacement,14
kitchen cabinetry,14
mechanical system,14
mass save insulation,14
patch wall,14
electrical upgrade,14
entrance door,14
repair deck,14
office partition,14
metal wall,14
wall cabinet,14
replace tub,14
2nd fl,14
bathroom wall,14
vinyl wall,14
exist bath,14
home office,14
close wall,14
family,14
fire damage,14
2 bedrooms,14
kitchen space,14
apartment unit,14
composite material,14
new interior partition,14
exercise room,14
ceiling light,14
storage closet,14
door hardware,14
rest,13
garage,13
guest bathroom,13
exist siding,13
vanity light,13
new light,13
12th floor,13
bath floor,13
kitchen countertop,13
new decking,13
architectural plan,13
exterior change,13
install new cabinets,13
1 bathroom,13
new unit,13
support work,13
entire building,13
new opening,13
install harvey replacement windows,13
mass ave,13
remove deck,13
repair water damage,13
8 replacement,13
shell space,13
repair work,13
kitchen wall,13
floor roof,13
water leak,13
fa system,13
replace skylights,13
window location,13
3 floors,13
roof system,13
fixture,13
attached drawing,13
counter,13
additional bedroom,13
exist office,13
sq ft,13
paint interior,13
air handler,13
5 new,13
barrier polyiso,13
replace basement windows,13
bedroom wall,13
remove finishes,13
safety code,13
remodel exist kitchen,13
floor apartment,13
classic replacement,13
3rd floor bathroom,13
ceramic tile,13
harvey replacement,13
structural repair,13
door kit,13
mobile,13
living area,13
exist decking,13
pocket door,13
exist room,13
exist hardwood floor,13
10 replacement window,13
roof membrane,13
open office seating,13
exterior envelope,13
wood door,12
ma save program,12
roofing material,12
opening,12
replace fixtures,12
exist house,12
interior trim,12
vinyl flooring,12
6 existing,12
charles park,12
replace bathtub,12
equipment room,12
facade,12
site improvement,12
floor ceiling,12
kind replacement,12
replace trim,12
basement remodel,12
new room,12
metal framing,12
communication facility,12
gas range,12
repair foundation,12
foundation,12
gas dryer,12
asphalt shingle,12
remove bathroom,12
new interior finish,12
metal panel,12
system upgrade,12
kitchen layout,12
windows replacement,12
exist framing,12
3 units,12
water infiltration,12
780 cmr,12
office use,12
bath room,12
separation wall,12
recess light,12
code compliance,12
building code,12
electrical fixture,12
reconfiguration,12
new system,12
weather stripping,12
steel column,12
remote radio,12
direct replacement,12
. ft,12
exterior window,12
city,12
building envelope,12
3/4 bathroom,12
construction plan,12
knee wall,12
floor powder,12
electrical panel,12
sprinkler,12
remodel exist bathroom,12
car garage,11
backyard,11
tile wall,11
joist hanger,11
replace antennas,11
lighting upgrade,11
exist rear deck,11
remove siding,11
entire apartment,11
exist closet,11
total,11
install new bathroom,11
exist sprinkler,11
1/2 bathroom,11
garbage disposal,11
relocation,11
replace doors windows,11
floor master,11
vanity sink,11
flat roof,11
open lab,11
exterior deck,11
replacement shower,11
10th floor,11
exist plumbing,11
wood wall,11
8 new,11
replace siding roofing,11
wood window,11
stair tread,11
parking lot,11
composite decking,11
dump truck,11
cement board,11
break area,11
finish upgrade,11
2 exterior,11
remove carpet,11
complete gut,11
interior fixture,11
repair replacement,11
selective interior demolition,11
exist tile,11
roof repair,11
11th floor,11
install new doors,11
partial demolition,11
property line,11
main house,11
harvard university,11
install sheetrock,11
floor living,11
new slab,11
2 doors,11
lab renovation,11
exist slab,11
install skylight,11
replace entry door,11
home owner,11
master closet,11
exterior painting,11
demo bathroom,11
deck replacement,11
foot,11
exist hvac,11
new laundry,11
remove chimneys,11
roof level,11
rubber membrane,11
shower floor,11
thermal barrier,10
conference space,10
exterior trim,10
2 entry,10
6 replacement,10
install drywall,10
size window,10
corner board,10
break room,10
non -,10
erect pipe staging,10
kitchen equipment,10
load center,10
replace roof deck,10
floor lobby,10
remove stairs,10
cell site,10
window size,10
exist system,10
hvac upgrade,10
new casework,10
nature,10
new restaurant,10
support area,10
additional bathroom,10
attach drawing,10
spec suite,10
new light fixture,10
exist fixture,10
replace light fixtures,10
13 windows,10
wood decking,10
100 amp,10
mechanical room,10
hallway,10
demo wall,10
tub surround,10
frame wall,10
structural engineer,10
sheetrock wall,10
story deck,10
porch repair,10
set,10
hall bath,10
elevator lobby,10
dryer vent,10
deck floor,10
exist flooring,10
4 inch,10
exist partition,10
primary bathroom,10
elevation,10
new space,10
new equipment,10
exist roof deck,10
door frame,10
shingle roof,10
building system,10
1ST floor,10
range hood,10
install new countertops cabinets,10
place,10
3 family,10
metal door,10
remove floor,10
rear addition,10
interior office,10
interior gut,10
lab conversion,10
marvin replacement,10
stair case,10
ceiling grid,10
update wiring,10
new office space,10
kendall square,10
replace exterior doors,10
new lab area,10
electrical outlet,10
mud room,10
entry,10
condo unit,10
modification,10
roof rafter,10
bathroom door,10
entry way,10
sink,10
bath tub,10
conference center,10
install new kitchen,10
weatherization work,10
purpose,10
square foot,10
new exterior door,10
engineer drawing,9
1 bedroom,9
new finishes,9
install floor,9
envelope repair,9
2x10 pt,9
replace kitchen appliances cabinets,9
1 kitchen,9
wood gutter,9
towel bar,9
crown molding,9
exist staircase,9
install new replacement windows,9
amenity space,9
coffee shop,9
replace interior doors,9
repair emergency,9
screen wall,9
wall board,9
washer,9
- work,9
rear yard,9
fume hood,9
fire alarm work,9
drip edge,9
minor alteration,9
exist interior partition,9
replace hardwood floor,9
site work,9
91 living,9
install paint,9
90 broadway,9
broad institute,9
1 story,9
bar area,9
bedroom closet,9
skylight,9
toilet paper,9
tile backsplash,9
glasswash room,9
living space,9
mini -,9
remove tile,9
kitchen sink,9
floor drain,9
tile bathroom,9
interior remodel,9
staircase,9
staff use,9
result,9
2nd bathroom,9
structure change,9
cambridge center,9
utility room,9
kneewall gable,9
garage roof,9
glass partition,9
new floor tile,9
repair front porch,9
remodel,9
new roofing,9
shed dormer,9
exist wireless facility,9
install wall,9
floor dormer,9
dividing wall,9
concrete footing,9
rear wall,9
new staircase,9
fan coil,9
crawlspace ceiling,9
retail space,9
interior alteration,9
gut kitchen,9
attic space,9
floor window,9
north,9
new countertop,9
install replacement window,9
paint finish,9
new interior wall,9
remove stair,9
gas stove,9
drain pipe,9
select area,9
outside,9
fire suppression,9
demolition work,9
2 chimneys,9
replace replacement windows,9
7 new,9
jacob lazzara,9
end,9
plaster bathroom,9
gut demolition,9
bathroom ceiling,9
equipment cabinet,9
update kitchen,9
training room,9
fascia board,9
exist elevator,9
restaurant space,9
core drilling,9
new hardwood floor,9
carpentry repair,8
aluminum gutter,8
electrical systems,8
contractor,8
remove section,8
attic,8
replace lighting,8
wood frame,8
2nd level,8
family structure,8
divide room,8
locker room,8
hand rail,8
owner,8
exist lighting,8
remove oil boiler tanks,8
exploritory demo,8
new beam,8
remove floors radiators,8
